areaName,Borough,areaType,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09,2020-10,2020-11,2020-12,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,2021-11,2021-12,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2023-01,2023-02,2023-03,2023-04,2023-05,2023-06,2023-07,2023-08,2023-09
Chinatown,Manhattan,neighborhood,1430000.000,1415000.000,1555000.000,1555000.000,,1400000.000,1386500.000,1373000.000,1373000.000,1225000.000,,,,649000.000,824250.000,1195000.000,1345000.000,1195000.000,,,,,,,,,699500.000,749000.000,716500.000,899000.000,794000.000,794000.000,725000.000,707000.000,725000.000,767500.000,850000.000,1186800.000,1274000.000,904000.000,904000.000,936500.000,998000.000,,1299000.000,1524500.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,995000.000,,,,,,,,,,,,,1222500.000,,1837500.000,1872500.000,1750000.000,995000.000,1984500.000,1680000.000,972500.000,950000.000,990000.000,1030000.000,1995000.000,1587500.000,1180000.000,925000.000,1052500.000,1195000.000,850000.000,850000.000,1195000.000,1845000.000,2022500.000,1585000.000,1895000.000,1945000.000,2250000.000,1524500.000,2272500.000,2995000.000,,,,995000.000,797000.000,872500.000,799000.000,835000.000,867650.000,,,,1080000.000,1515000.000,1537500.000,1544000.000,,,,
City Island,Bronx,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,759000.000,759000.000,759000.000,778500.000,759000.000,778500.000,731500.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Civic Center,Manhattan,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clearview,Queens,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clinton Hill,Brooklyn,neighborhood,537500.000,560000.000,537500.000,449000.000,449000.000,458000.000,449000.000,449000.000,539000.000,539500.000,499000.000,527500.000,499000.000,499000.000,545000.000,560000.000,560000.000,560000.000,555000.000,567500.000,570000.000,594000.000,600000.000,594000.000,579000.000,570000.000,589500.000,545000.000,545000.000,565000.000,567500.000,567500.000,580000.000,565000.000,585000.000,639000.000,639000.000,582000.000,614000.000,639000.000,629000.000,649000.000,689000.000,649000.000,529000.000,639000.000,649000.000,650000.000,699000.000,725000.000,767000.000,785000.000,762500.000,717500.000,717500.000,792500.000,708250.000,795000.000,837000.000,825000.000,699000.000,712000.000,699000.000,775000.000,750000.000,737500.000,767500.000,775000.000,775000.000,775000.000,895000.000,1075000.000,1175000.000,898000.000,900000.000,910000.000,905000.000,905000.000,905000.000,899500.000,897000.000,899000.000,899500.000,967000.000,999000.000,1065000.000,1035000.000,870000.000,875000.000,899000.000,992000.000,1249000.000,1350000.000,1125000.000,1100000.000,1100000.000,1125000.000,1037500.000,999000.000,997000.000,975000.000,999000.000,1060000.000,1157500.000,1150000.000,980000.000,977500.000,887000.000,875000.000,899000.000,1095000.000,1195000.000,1197500.000,1212500.000,1175000.000,1202500.000,1199995.000,1199995.000,1214498.000,1295000.000,1295000.000,1229000.000,1087500.000,1200000.000,1150000.000,1150000.000,1150000.000,1112500.000,995000.000,1024950.000,999900.000,1035000.000,995000.000,1062500.000,1112500.000,995000.000,949500.000,972500.000,949000.000,930000.000,950000.000,950000.000,969000.000,1084500.000,1170000.000,1295000.000,1272500.000,1375000.000,1400000.000,1372500.000,1400000.000,1325000.000,1350000.000,1300000.000,1595000.000,1695000.000,1595000.000,1447500.000,1595000.000,1645000.000,1250000.000,1195000.000,1195000.000,999000.000,999000.000
Co-op City,Bronx,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cobble Hill,Brooklyn,neighborhood,799000.000,799000.000,837000.000,649000.000,837000.000,649000.000,775000.000,,,775000.000,887000.000,1120000.000,1047500.000,899498.000,899995.000,934998.000,654000.000,699000.000,825000.000,799000.000,502500.000,507500.000,505000.000,510000.000,749000.000,699000.000,714500.000,649000.000,505000.000,496500.000,472500.000,455000.000,435000.000,426500.000,418000.000,379000.000,379000.000,379000.000,342425.000,340550.000,318120.000,319200.000,319200.000,325215.000,332150.000,510000.000,491738.000,,,508134.000,1100000.000,708634.000,708634.000,835000.000,,,,1272500.000,1195000.000,,,,1487500.000,1487500.000,1395000.000,1000000.000,1212500.000,,,1400000.000,1537500.000,,,,1747500.000,1600000.000,1397000.000,1550000.000,1895000.000,2745000.000,1495000.000,1600000.000,2092500.000,,,,,1420000.000,1429000.000,1750000.000,1675000.000,1995000.000,1495000.000,1600000.000,1600000.000,1495000.000,1595000.000,2247500.000,2247500.000,1995000.000,2150000.000,1600000.000,1637500.000,1675000.000,2222500.000,2070000.000,1982500.000,1995000.000,2200000.000,2595000.000,2595000.000,1995000.000,1995000.000,1995000.000,2450000.000,2222500.000,2512500.000,2575000.000,2562500.000,2650000.000,2287500.000,2325000.000,1495000.000,2300000.000,2300000.000,1765000.000,1575000.000,1525000.000,1595000.000,1595000.000,1795000.000,1822500.000,2022500.000,1695000.000,1645000.000,1572500.000,1632500.000,1462500.000,1500000.000,1500000.000,2172500.000,2412500.000,2699000.000,2612500.000,2150000.000,2195000.000,1495000.000,1700000.000,1512500.000,1450000.000,1575000.000,1575000.000,1850000.000,1922500.000,1995000.000,1922500.000,,,1742500.000,2150000.000,1774500.000,1774500.000,2074500.000,,
College Point,Queens,neighborhood,,,,451500.000,,,441415.000,441415.000,441415.000,,446310.000,,,,,,433200.000,433200.000,448800.000,450800.000,455900.000,452800.000,450800.000,,452800.000,452800.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,659000.000,674444.000,659000.000,784500.000,827223.000,820000.000,600409.000,622000.000,625000.000,609705.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Columbia St Waterfront District,Brooklyn,neighborhood,,,,717500.000,689500.000,665000.000,699000.000,677500.000,662500.000,595000.000,649000.000,605000.000,600000.000,595000.000,499000.000,660000.000,654500.000,649000.000,659500.000,654000.000,660000.000,699000.000,799000.000,669000.000,662500.000,665000.000,654500.000,643250.000,643250.000,643250.000,647000.000,641500.000,649000.000,649000.000,669000.000,689000.000,689000.000,699000.000,822000.000,999000.000,997000.000,995000.000,897000.000,847000.000,1120000.000,1225000.000,1160000.000,1175000.000,1137000.000,,1250000.000,1175000.000,1050000.000,1185000.000,1112500.000,1012500.000,1075000.000,962500.000,,,,897000.000,1050000.000,1050000.000,1299000.000,1399500.000,1099000.000,874500.000,1024500.000,1150000.000,1149000.000,1149500.000,1024000.000,1150000.000,1175000.000,1400000.000,1349000.000,1285000.000,,,862000.000,862000.000,,,,,895000.000,1125000.000,1274500.000,1097500.000,895000.000,,859000.000,1095000.000,1097500.000,975000.000,999000.000,1298500.000,1292000.000,1092000.000,1286000.000,1324500.000,1495000.000,1550000.000,1550000.000,1495000.000,1685000.000,1895000.000,1612000.000,1525000.000,1299000.000,1399500.000,1150000.000,1150000.000,1150000.000,1162500.000,1225000.000,1275000.000,1275000.000,1374500.000,1150000.000,1037500.000,1150000.000,1150000.000,1237000.000,1180000.000,1180000.000,1195000.000,1190000.000,1210000.000,1167000.000,1175000.000,1140000.000,1299000.000,1150000.000,995000.000,1100000.000,1197500.000,1139000.000,995000.000,,,,,,,,,1099000.000,,,,,1499000.000,,,,,,,,,,,
Concourse,Bronx,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coney Island,Brooklyn,neighborhood,,,,,,,374000.000,369000.000,369000.000,369000.000,369000.000,372000.000,372000.000,369000.000,369000.000,369000.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,569000.000,,,,,,,558500.000,580000.000,569000.000,567000.000,575000.000,549000.000,,,,555000.000,565000.000,565000.000,565000.000,565000.000,554000.000,,,575000.000,582000.000,588495.000,,588495.000,,,591990.000,580000.000,575000.000,572000.000,568000.000,568000.000,499000.000,509000.000,509000.000,568500.000,568500.000,599000.000,593750.000,588750.000,589000.000,569000.000,564000.000,569000.000,614500.000,610000.000,599000.000,589000.000,614500.000,,604500.000,589000.000,614000.000,579000.000,,,,,,,,,,,669000.000,665000.000,659000.000,638999.000,638999.000,629000.000,649000.000,629000.000,599000.000,599000.000,650000.000,664000.000,664500.000,665000.000,661500.000,661500.000,664000.000,599000.000,649000.000,639000.000,629000.000,664000.000,685000.000,629000.000,646500.000,646500.000,627000.000,664000.000,631500.000,554000.000,576500.000,554000.000,550000.000,572500.000,549500.000,549000.000,549000.000,599000.000,609000.000,574500.000
Corona,Queens,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,562400.000,562400.000,562400.000,,,627400.000,626800.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,539000.000,539000.000
Country Club,Bronx,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crotona Park East,Bronx,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crown Heights,Brooklyn,neighborhood,455000.000,450000.000,442500.000,449900.000,440000.000,417000.000,415000.000,415000.000,395000.000,399000.000,410000.000,412500.000,410000.000,410000.000,399000.000,425000.000,469000.000,469000.000,450000.000,450000.000,450000.000,420000.000,410000.000,399000.000,399000.000,407000.000,365000.000,352000.000,372000.000,495000.000,495000.000,495000.000,495000.000,527500.000,577000.000,579000.000,595000.000,547000.000,597000.000,595000.000,599000.000,595000.000,595000.000,572000.000,572000.000,612000.000,595000.000,499000.000,672000.000,710000.000,649000.000,595000.000,550000.000,659000.000,659000.000,659000.000,685000.000,762000.000,795000.000,575000.000,575000.000,562000.000,522000.000,599500.000,699000.000,679000.000,674500.000,750000.000,760000.000,754500.000,824000.000,845000.000,849000.000,882000.000,873500.000,897000.000,899000.000,937000.000,870000.000,810000.000,862000.000,792000.000,795000.000,837000.000,875000.000,865000.000,865000.000,865000.000,820000.000,849000.000,849000.000,855000.000,865000.000,852500.000,890000.000,870000.000,875000.000,875000.000,852500.000,775000.000,712000.000,694500.000,845000.000,910000.000,742000.000,779000.000,789500.000,795000.000,800000.000,800000.000,925000.000,962500.000,969000.000,1069000.000,1025000.000,975000.000,899000.000,882000.000,950000.000,977500.000,949000.000,899000.000,899000.000,848000.000,887500.000,895000.000,880000.000,899000.000,899000.000,949000.000,949000.000,899000.000,850000.000,817500.000,806000.000,812500.000,760000.000,821000.000,792000.000,777000.000,855000.000,900000.000,922000.000,899000.000,869500.000,830000.000,843500.000,856000.000,790000.000,812000.000,840000.000,791000.000,847000.000,895000.000,885000.000,835000.000,740000.000,767500.000,794500.000,770000.000,900000.000,807000.000,822500.000,780000.000,869000.000
DUMBO,Brooklyn,neighborhood,972000.000,987450.000,1095000.000,1072500.000,1095000.000,1137500.000,1200000.000,1192250.000,1189500.000,1160000.000,995000.000,1022000.000,1049000.000,1049500.000,1075000.000,977500.000,975000.000,890000.000,1015000.000,1055000.000,1024500.000,949000.000,899500.000,1057990.000,1095000.000,1077990.000,1049990.000,944990.000,999990.000,1074995.000,1129000.000,1139000.000,982000.000,999000.000,1047500.000,1075000.000,999000.000,895000.000,899000.000,929000.000,1050000.000,1095000.000,999475.000,1299000.000,1399000.000,1485000.000,1679000.000,1700000.000,1600000.000,1500000.000,1399500.000,1320000.000,1320000.000,1399000.000,1337000.000,1399999.000,1400000.000,1800000.000,2325000.000,2536140.000,2375000.000,2325000.000,2225000.000,2337000.000,2499500.000,2500000.000,2395000.000,2556640.000,2500000.000,2439000.000,2695000.000,2762500.000,2695000.000,2595000.000,2439500.000,2595000.000,2540000.000,2595000.000,2695000.000,2695000.000,2540000.000,2520000.000,2407500.000,2550000.000,2407500.000,2567500.000,2300000.000,2297000.000,2277000.000,2295000.000,2025000.000,2100000.000,2500000.000,2347000.000,2100000.000,2595000.000,2595000.000,2595000.000,2149000.000,2040000.000,1770000.000,1750000.000,2199000.000,2174000.000,1922500.000,1825000.000,1410000.000,1850000.000,2198000.000,2249000.000,2249000.000,2224500.000,2198000.000,1950000.000,1722500.000,1585000.000,1985000.000,1950000.000,1925000.000,1897500.000,1895000.000,1995000.000,1995000.000,1995000.000,1995000.000,1970000.000,1750000.000,1775000.000,1724500.000,1699000.000,1762500.000,1845000.000,1960000.000,1920000.000,1995000.000,1995000.000,2020000.000,1945000.000,1965000.000,1985000.000,2095000.000,2085500.000,2097500.000,2137500.000,2150000.000,2081000.000,2092000.000,2076000.000,2092000.000,2121000.000,2076000.000,2076000.000,1995000.000,2092000.000,2112500.000,2125000.000,1997000.000,2010000.000,2065000.000,2137500.000,2175000.000,1977000.000,2002000.000,2150000.000,2150000.000
Ditmas Park,Brooklyn,neighborhood,525000.000,515000.000,513000.000,494500.000,491625.000,489250.000,481625.000,469000.000,469625.000,457500.000,469000.000,469000.000,469000.000,469000.000,469000.000,469000.000,469000.000,469000.000,464500.000,469000.000,470250.000,473500.000,473000.000,473000.000,473000.000,475000.000,476500.000,492000.000,510500.000,510500.000,510525.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,800000.000,915000.000,797500.000,,,,,,,,679450.000,699900.000,699000.000,755000.000,699000.000,679000.000,634500.000,699000.000,699900.000,699900.000,699450.000,699000.000,649000.000,649000.000,729000.000,659000.000,699000.000,684000.000,749000.000,669000.000,684000.000,684000.000,699000.000,749000.000,,,699500.000,699500.000,,,849000.000,,,,,,,,,,,,,,,,,,,,912500.000,,,,930000.000
Douglaston,Queens,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Downtown Brooklyn,Brooklyn,neighborhood,599000.000,599000.000,599000.000,599000.000,570000.000,554000.000,524000.000,513000.000,499375.000,495500.000,495500.000,556500.000,567500.000,581275.000,613500.000,639000.000,677000.000,685000.000,682000.000,697000.000,699000.000,716125.000,716125.000,707250.000,750000.000,780000.000,749000.000,808000.000,795000.000,785000.000,785000.000,799000.000,782500.000,799000.000,862500.000,835000.000,785000.000,899000.000,1017000.000,899000.000,855000.000,799000.000,797000.000,831250.000,849000.000,849000.000,849000.000,880000.000,1028625.000,1028625.000,1027500.000,1175000.000,954500.000,900000.000,920000.000,963000.000,961500.000,974000.000,1131000.000,1254000.000,1305000.000,1375000.000,1405000.000,1400000.000,1365000.000,1483000.000,1637000.000,1707000.000,1493050.000,1357500.000,1330000.000,1595000.000,1710000.000,1463050.000,1345000.000,1300000.000,1225000.000,1325000.000,1307850.000,1320350.000,1399000.000,992561.000,958616.000,950220.000,912393.000,912393.000,939000.000,942005.000,942005.000,941914.000,941823.000,933426.000,938412.000,978092.000,998500.000,1457500.000,1457500.000,1400000.000,1375000.000,1380000.000,1392609.000,1475000.000,1062500.000,1075000.000,1075000.000,1125000.000,1250000.000,1230000.000,1200000.000,1190000.000,1175000.000,1192500.000,1167500.000,1200000.000,1272500.000,1295000.000,1200000.000,1195000.000,1249999.000,1295000.000,1250000.000,1302000.000,1272500.000,1350000.000,1357500.000,1302000.000,1350000.000,1349998.000,1390000.000,1345000.000,1350000.000,1355000.000,1350000.000,1350000.000,1345000.000,1335000.000,1350000.000,1305000.000,1342000.000,1335000.000,1332500.000,1350000.000,1349250.000,1437500.000,1480000.000,1475000.000,1497498.000,1340000.000,1300000.000,1350000.000,1398000.000,1502500.000,1552500.000,1555000.000,1650000.000,1515000.000,1675000.000,1675000.000,1687500.000,1575000.000,1565000.000,1500000.000,1540000.000,1585000.000,1552500.000
Dyker Heights,Brooklyn,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,614000.000,633500.000,673000.000,704500.000,730000.000,754000.000,750000.000,705000.000,729500.000,699000.000,674000.000,,,,632000.000,689000.000,,,,749000.000,,,,,,,,865000.000,842500.000,832500.000,769500.000,769500.000,769500.000,,,,,,,,,,,,,,,,,,,,,,,,,,793500.000,838000.000,838000.000,838000.000
East Brooklyn,Brooklyn,submarket,425000.000,412500.000,415000.000,415000.000,410000.000,399000.000,399000.000,397000.000,379000.000,387000.000,380000.000,387000.000,399000.000,395000.000,399000.000,399000.000,410000.000,404000.000,395000.000,395000.000,392500.000,355000.000,369000.000,365000.000,395000.000,399000.000,399000.000,419000.000,399000.000,439000.000,399000.000,395000.000,361500.000,395000.000,395000.000,339000.000,329500.000,299000.000,299000.000,305000.000,299000.000,299000.000,299000.000,304000.000,349000.000,350000.000,350000.000,350000.000,404500.000,512000.000,475000.000,515000.000,520000.000,599000.000,549000.000,522000.000,565000.000,649000.000,649000.000,617450.000,635000.000,599000.000,599900.000,649000.000,687000.000,689000.000,672500.000,669000.000,699000.000,715000.000,740250.000,699000.000,699000.000,699000.000,689000.000,697000.000,699000.000,699000.000,699000.000,699000.000,725000.000,749000.000,749000.000,749000.000,792301.000,799000.000,807000.000,820000.000,816250.000,832500.000,835000.000,855000.000,827500.000,822500.000,799000.000,797000.000,749000.000,750000.000,717500.000,699500.000,699000.000,690000.000,699000.000,699000.000,660000.000,675000.000,680000.000,645000.000,645000.000,645000.000,657000.000,699000.000,699000.000,739000.000,717000.000,724997.000,749000.000,775000.000,780000.000,795000.000,775000.000,769000.000,759000.000,759000.000,749000.000,775000.000,759000.000,769000.000,760000.000,760000.000,749000.000,749000.000,729000.000,695000.000,695000.000,677000.000,679000.000,695000.000,695000.000,680000.000,725000.000,727000.000,730000.000,725000.000,725000.000,718000.000,730000.000,725000.000,734500.000,719000.000,699000.000,695000.000,740000.000,761000.000,745000.000,715000.000,699000.000,740000.000,749000.000,720000.000,795000.000,771495.000,750000.000,714950.000,747000.000
East Elmhurst,Queens,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
East Flatbush,Brooklyn,neighborhood,,,,,,449000.000,449000.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,555000.000,565000.000,570000.000,575000.000,600000.000,570000.000,559000.000,569000.000,550000.000,564500.000,579000.000,669000.000,640000.000,645000.000,605000.000,585000.000,585000.000,605000.000,650000.000,642500.000,625000.000,615000.000,605000.000,555000.000,575000.000,605000.000,635000.000,697000.000,636000.000,617000.000,645000.000,655000.000,707000.000,655000.000,652000.000,652000.000,652000.000,674500.000,674500.000,599000.000,739000.000,750000.000,739000.000,719000.000,744500.000,709000.000,679000.000,730000.000,662000.000,662000.000,540000.000,540000.000,599000.000,534500.000,612000.000,637500.000,625000.000,625000.000,562500.000,575000.000,550000.000,587500.000,550000.000,625000.000,700000.000,700000.000,650000.000
East Harlem,Manhattan,neighborhood,499000.000,494000.000,492500.000,499000.000,496495.000,496000.000,496495.000,499000.000,499000.000,495000.000,496000.000,482500.000,485000.000,490000.000,480000.000,462450.000,495000.000,495000.000,449900.000,449450.000,430000.000,430000.000,430000.000,425000.000,427500.000,449000.000,469000.000,469000.000,459000.000,469000.000,498000.000,511000.000,510000.000,511000.000,550000.000,650000.000,655000.000,669500.000,673000.000,664000.000,616400.000,646400.000,620000.000,615000.000,669500.000,769000.000,785000.000,785000.000,806300.000,799900.000,747000.000,699000.000,668000.000,706500.000,738500.000,698500.000,698000.000,671000.000,765000.000,808500.000,779000.000,850000.000,862725.000,875450.000,720000.000,715000.000,715000.000,760375.000,745000.000,722500.000,735000.000,732500.000,717500.000,700000.000,697500.000,690000.000,690000.000,690000.000,720000.000,720000.000,795000.000,790000.000,805000.000,800000.000,800000.000,896725.000,925000.000,885000.000,864000.000,797178.000,772678.000,795000.000,795000.000,788500.000,772500.000,850000.000,842500.000,799000.000,795000.000,795000.000,775000.000,788500.000,791750.000,783750.000,791750.000,775000.000,791750.000,793750.000,775000.000,775000.000,730191.000,657500.000,749000.000,769000.000,772000.000,781500.000,772000.000,775000.000,825000.000,849000.000,800000.000,800000.000,794250.000,768750.000,744500.000,725000.000,750000.000,695000.000,659500.000,650000.000,695000.000,712000.000,684000.000,684000.000,705000.000,733500.000,705000.000,698500.000,612500.000,695000.000,680000.000,695000.000,715000.000,679000.000,687000.000,650950.000,695000.000,675000.000,677000.000,699000.000,685000.000,749000.000,749000.000,759500.000,777000.000,737500.000,725000.000,699000.000,694000.000,699000.000,684500.000,649500.000,649500.000,650000.000,672500.000
East New York,Brooklyn,neighborhood,240416.000,240416.000,239422.000,229836.000,181710.000,181710.000,181710.000,181710.000,200980.000,200980.000,220250.000,220250.000,220250.000,204625.000,,,,,,,,199450.000,199000.000,199450.000,196934.000,,,,187150.000,222000.000,205650.000,222000.000,192000.000,195250.000,222000.000,230500.000,258650.000,260525.000,259588.000,257713.000,259588.000,260525.000,259588.000,258650.000,249900.000,247650.000,247650.000,248775.000,247650.000,240844.000,252325.000,239500.000,244000.000,218450.000,260000.000,260950.000,260000.000,260000.000,270100.000,273000.000,284970.000,290000.000,290000.000,282975.000,284500.000,299000.000,299000.000,299000.000,299000.000,299999.000,299500.000,300000.000,299500.000,302500.000,329000.000,331000.000,331500.000,329500.000,324625.000,329000.000,329500.000,329000.000,329000.000,322350.000,315700.000,329000.000,329500.000,317850.000,303000.000,303000.000,301500.000,319998.000,315700.000,317849.000,311850.000,315700.000,320001.000,340000.000,327850.000,339500.000,339500.000,345725.000,347500.000,342500.000,339000.000,340000.000,342500.000,345000.000,345000.000,345000.000,340000.000,,339500.000,,335000.000,339000.000,339000.000,339000.000,,344000.000,359000.000,332500.000,326500.000,322500.000,330000.000,330000.000,,329500.000,349500.000,349000.000,349500.000,350000.000,390000.000,344500.000,355000.000,355000.000,355000.000,349888.000,321444.000,,,,,,304000.000,349000.000,349000.000,299000.000,354500.000,349999.000,339000.000,334000.000,354500.000,349999.000,359000.000,377000.000,359000.000,359000.000,350000.000,349000.000,349000.000,349500.000,359000.000,359000.000,359000.000
East Tremont,Bronx,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
